id,model_year,make,model,body_style,segment,fuel_type,city_mpg,highway_mpg,horsepower,engine_cylinders,engine_displacement_L,curb_weight_lbs,msrp_usd,transmission,drive_type,country_of_origin,safety_rating,reliability_score,highway_to_city_ratio
444,2014,Dodge,Durango,SUV,Midsize SUV,Gasoline,23.0,28.0,251,6,2.9,4053,52821,Manual,4WD,USA,5,6.5,1.217
445,2022,GMC,Envoy,SUV,Midsize SUV,Gasoline,23.0,28.0,188,4,1.6,3937,50564,Automatic,RWD,USA,4,6.6,1.217
446,2016,Audi,TT,Coupe,Sports Luxury,Gasoline,22.0,29.0,559,8,4.3,3568,100576,Automatic,RWD,Germany,4,7.1,1.318
447,2019,Subaru,Tribeca,SUV,Midsize SUV,Gasoline,25.0,30.0,219,6,2.9,4216,43148,Automatic,FWD,Japan,5,8.0,1.2
448,2014,GMC,Jimmy,SUV,Midsize SUV,Gasoline,22.0,27.0,221,6,3.1,3676,41649,Automatic,RWD,USA,5,9.0,1.227
449,2002,Lexus,IS,Sedan,Midsize,Hybrid,39.0,49.0,177,4,1.5,3677,30188,Automatic,FWD,Japan,4,8.1,1.256
450,2009,Dodge,Charger,Sedan,Midsize,Gasoline,25.0,31.0,168,4,1.6,3418,30470,Manual,AWD,USA,4,7.5,1.24
451,2005,Kia,Carnival,Minivan,Compact,Electric,,,335,0,0.0,2940,21013,Automatic,RWD,South Korea,5,9.8,
452,2018,Volvo,C40,SUV,Midsize SUV,Hybrid,36.0,49.0,213,4,1.5,3936,42722,Automatic,AWD,Sweden,4,9.2,1.361
453,2011,GMC,Acadia,SUV,Midsize SUV,Gasoline,24.0,31.0,231,6,3.0,4160,45991,Manual,4WD,USA,5,7.8,1.292
454,2010,Mercedes-Benz,G-Class,SUV,Full-size Luxury SUV,Gasoline,16.0,21.0,418,8,4.5,5644,116643,Automatic,FWD,Germany,4,8.6,1.312
455,2010,Dodge,Viper,Coupe,Compact,Gasoline,29.0,36.0,156,4,1.8,3260,26919,Automatic,AWD,USA,5,7.0,1.241
456,2014,Honda,Ridgeline,Truck,Midsize Truck,Gasoline,18.0,22.0,269,6,3.0,4527,43564,Manual,FWD,Japan,4,8.8,1.222
457,2023,Kia,Sorento,SUV,Midsize SUV,Gasoline,24.0,29.0,270,4,1.7,4115,60020,Automatic,AWD,South Korea,3,7.9,1.208
458,2003,Ford,Escape,SUV,Compact SUV,Gasoline,21.0,28.0,154,4,1.7,3394,27270,Automatic,AWD,USA,5,8.3,1.333
459,2018,Tesla,Model Y,SUV,Compact Luxury SUV,Electric,,,315,0,0.0,3925,60073,Automatic,FWD,USA,5,7.0,
460,2007,Lexus,RC,Coupe,Compact,Hybrid,43.0,56.0,169,4,1.7,3253,22789,Automatic,AWD,Japan,3,7.6,1.302
461,2016,Honda,Pilot,SUV,Midsize SUV,Hybrid,31.0,38.0,232,6,3.0,4055,55337,Automatic,4WD,Japan,4,7.6,1.226
462,2016,GMC,Terrain,SUV,Midsize SUV,Gasoline,21.0,27.0,217,4,1.7,4226,46904,Automatic,FWD,USA,5,8.4,1.286
463,2017,GMC,Canyon,Truck,Midsize Truck,Gasoline,20.0,24.0,306,8,4.5,4847,46654,Automatic,AWD,USA,5,6.8,1.2
464,2021,GMC,Safari,Van,Compact,Gasoline,30.0,36.0,168,4,1.6,3258,33488,Manual,FWD,USA,4,7.1,1.2
465,2006,Audi,Q3,SUV,Subcompact Luxury SUV,Diesel,29.0,36.0,186,4,1.7,3290,43534,Automatic,FWD,Germany,5,8.6,1.241
466,2021,Volkswagen,Arteon,Sedan,Midsize,Diesel,28.0,38.0,219,4,1.6,3481,35170,Automatic,AWD,Germany,5,6.8,1.357
467,2023,Toyota,Corolla,Sedan,Compact,Gasoline,31.0,37.0,135,4,1.7,3217,28941,Automatic,AWD,Japan,3,9.7,1.194
468,2006,Dodge,Neon,Sedan,Midsize,Gasoline,28.0,37.0,172,4,1.5,3509,31862,Manual,FWD,USA,5,10.0,1.321
469,2014,Honda,Ridgeline,Truck,Midsize Truck,Gasoline,22.0,26.0,249,6,3.1,4630,44350,Automatic,RWD,Japan,4,7.1,1.182
470,2021,Honda,Insight,Sedan,Compact,Gasoline,27.0,35.0,145,4,1.4,2860,29855,Automatic,RWD,Japan,5,7.9,1.296
471,2021,Jeep,Liberty,SUV,Midsize SUV,Gasoline,24.0,29.0,214,6,3.0,4011,49203,Automatic,AWD,USA,5,6.5,1.208
472,2011,Ram,3500,Truck,Midsize Truck,Gasoline,19.0,24.0,257,6,2.8,4371,33538,Automatic,FWD,USA,4,5.7,1.263
473,2001,Mazda,CX-30,SUV,Midsize SUV,Gasoline,20.0,26.0,202,6,3.0,4064,40745,Manual,RWD,Japan,5,7.2,1.3
474,2022,Dodge,Challenger,Coupe,Compact,Gasoline,31.0,38.0,119,4,1.6,3107,34258,Automatic,AWD,USA,5,8.6,1.226
475,2006,Chevrolet,Trax,SUV,Subcompact SUV,Gasoline,27.0,35.0,149,4,1.5,3094,30538,Automatic,AWD,USA,5,7.2,1.296
476,2013,Lexus,LX,SUV,Midsize SUV,Gasoline,25.0,31.0,259,6,2.9,4272,42686,Automatic,RWD,Japan,5,8.3,1.24
477,2000,Mazda,CX-9,SUV,Midsize SUV,Gasoline,20.0,27.0,213,6,2.9,4089,44094,Automatic,AWD,Japan,5,6.9,1.35
478,2013,BMW,7 Series,Sedan,Full-size Luxury,Gasoline,20.0,25.0,460,8,4.4,4536,98132,Automatic,AWD,Germany,4,6.5,1.25
479,2006,Honda,CR-V,SUV,Compact SUV,Gasoline,25.0,32.0,200,4,1.6,3200,29732,Automatic,AWD,Japan,4,8.2,1.28
480,2023,Mercedes-Benz,C-Class,Sedan,Compact Luxury,Gasoline,23.0,31.0,299,6,2.8,3745,64973,Automatic,RWD,Germany,5,5.7,1.348
481,2023,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,18.0,23.0,347,8,4.5,5714,76115,Automatic,AWD,USA,5,6.4,1.278
482,2013,Jeep,Compass,SUV,Midsize SUV,Gasoline,26.0,31.0,250,6,2.8,4571,40722,Automatic,AWD,USA,4,9.1,1.192
483,2021,Ram,ProMaster,Van,Compact,Gasoline,34.0,47.0,146,4,1.7,2893,32587,Automatic,AWD,USA,3,7.3,1.382
484,2008,Ford,Escape,SUV,Compact SUV,Hybrid,34.0,42.0,182,4,1.6,3351,37029,Manual,RWD,USA,3,6.8,1.235
485,2009,Jeep,Renegade,SUV,Midsize SUV,Gasoline,25.0,31.0,211,6,3.0,4175,46123,Manual,RWD,USA,5,7.4,1.24
486,2023,Dodge,Neon,Sedan,Midsize,Gasoline,29.0,40.0,186,4,1.6,3681,34952,Automatic,FWD,USA,4,7.2,1.379
487,2017,Tesla,Roadster,Convertible,Sports Luxury,Electric,,,997,0,0.0,3480,83602,Automatic,AWD,USA,4,5.5,
488,2006,Toyota,Prius,Hatchback,Compact,Hybrid,43.0,54.0,158,4,1.3,3157,27077,Automatic,AWD,Japan,5,7.1,1.256
489,2015,Subaru,WRX,Sedan,Midsize,Gasoline,27.0,36.0,222,6,2.9,3540,33966,Automatic,AWD,Japan,4,8.5,1.333
490,2017,Toyota,Camry,Sedan,Midsize,Gasoline,25.0,34.0,206,4,1.7,3478,37252,Automatic,RWD,Japan,4,8.1,1.36
491,2000,Volvo,XC60,SUV,Midsize SUV,Electric,,,248,0,0.0,4044,44022,Automatic,RWD,Sweden,3,7.3,
492,2023,Hyundai,Kona,SUV,Midsize SUV,Electric,,,281,0,0.0,3943,48144,Automatic,FWD,South Korea,5,8.6,
493,2005,Audi,A5,Coupe,Compact Luxury,Gasoline,24.0,33.0,245,4,1.7,3619,44738,Automatic,RWD,Germany,3,4.5,1.375
494,2022,Jeep,Compass,SUV,Midsize SUV,Gasoline,24.0,32.0,229,4,1.6,3946,58592,Automatic,FWD,USA,5,7.3,1.333
495,2023,Tesla,Roadster,Convertible,Sports Luxury,Electric,,,1001,0,0.0,3680,104038,Automatic,RWD,USA,5,9.6,
496,2005,Ford,EcoSport,SUV,Subcompact SUV,Gasoline,30.0,37.0,114,4,1.7,3008,26809,Automatic,AWD,USA,4,8.5,1.233
497,2008,BMW,4 Series,Coupe,Compact Luxury,Diesel,27.0,37.0,268,6,3.2,3568,48690,Automatic,AWD,Germany,4,10.0,1.37
498,2021,BMW,2 Series,Coupe,Subcompact Luxury,Diesel,32.0,43.0,196,4,1.6,3237,40315,Automatic,RWD,Germany,3,7.9,1.344
499,2014,Dodge,Charger,Sedan,Midsize,Gasoline,29.0,37.0,190,4,1.7,3742,31319,Automatic,FWD,USA,5,7.9,1.276
500,2018,Lexus,LS,Sedan,Midsize,Hybrid,41.0,54.0,147,4,1.5,3232,35735,Automatic,RWD,Japan,5,7.2,1.317
501,2009,Subaru,Outback,Wagon,Compact,Gasoline,26.0,36.0,165,4,1.6,3160,22580,Automatic,AWD,Japan,5,3.9,1.385
502,2000,Tesla,Roadster,Convertible,Sports Luxury,Electric,,,1021,0,0.0,3671,80003,Automatic,AWD,USA,5,7.9,
503,2006,Volvo,S60,Sedan,Midsize,Gasoline,27.0,36.0,172,4,1.5,3490,32372,Automatic,RWD,Sweden,4,10.0,1.333
504,2006,Chevrolet,Silverado,Truck,Full-size Truck,Gasoline,15.0,19.0,359,6,3.1,5766,46224,Automatic,FWD,USA,5,8.7,1.267
505,2011,Tesla,Model Y,SUV,Compact Luxury SUV,Electric,,,271,0,0.0,3674,57809,Automatic,RWD,USA,4,6.0,
506,2019,Ram,3500,Truck,Midsize Truck,Gasoline,21.0,27.0,264,6,3.1,4525,44174,Automatic,RWD,USA,5,7.1,1.286
507,2009,Lexus,ES,Sedan,Midsize,Gasoline,22.0,28.0,206,6,3.0,3562,35989,Automatic,RWD,Japan,5,4.3,1.273
508,2016,Lexus,ES,Sedan,Midsize,Gasoline,26.0,33.0,161,4,1.6,3570,36652,Automatic,FWD,Japan,3,6.2,1.269
509,2005,GMC,Acadia,SUV,Midsize SUV,Gasoline,24.0,32.0,228,6,3.1,3974,43592,Automatic,4WD,USA,4,10.0,1.333
510,2013,Hyundai,Tucson,SUV,Midsize SUV,Gasoline,25.0,30.0,235,6,2.9,4182,48920,Automatic,RWD,South Korea,4,7.9,1.2
511,2022,Tesla,Model S,Sedan,Midsize Luxury,Electric,,,428,0,0.0,3728,77024,Automatic,FWD,USA,4,8.5,
512,2006,Audi,A4,Sedan,Compact Luxury,Gasoline,28.0,37.0,238,4,1.7,3427,42321,Automatic,AWD,Germany,4,8.8,1.321
513,2015,BMW,4 Series,Coupe,Compact Luxury,Gasoline,27.0,33.0,258,6,3.2,3495,46061,Automatic,RWD,Germany,5,8.9,1.222
514,2017,Tesla,Roadster,Convertible,Sports Luxury,Electric,,,960,0,0.0,3754,94115,Automatic,AWD,USA,5,7.5,
515,2022,Dodge,Journey,SUV,Midsize SUV,Gasoline,22.0,27.0,227,6,3.1,4489,57956,Automatic,FWD,USA,4,6.7,1.227
516,2011,Audi,Q8,SUV,Full-size Luxury SUV,Gasoline,16.0,19.0,433,8,4.6,6230,114764,Automatic,FWD,Germany,5,6.1,1.188
517,2021,Jeep,Grand Wagoneer,SUV,Midsize SUV,Gasoline,23.0,31.0,195,4,1.5,4256,48207,Automatic,RWD,USA,4,8.1,1.348
518,2015,Honda,Ridgeline,Truck,Midsize Truck,Gasoline,24.0,29.0,196,4,1.6,4234,42456,Automatic,AWD,Japan,5,8.4,1.208
519,2003,Subaru,BRZ,Coupe,Compact,Gasoline,29.0,36.0,156,4,1.7,2999,20553,Manual,AWD,Japan,4,8.8,1.241
520,2021,Lexus,RC,Coupe,Compact,Gasoline,32.0,42.0,174,4,1.4,3004,26421,Automatic,AWD,Japan,5,8.3,1.312
521,2001,Honda,Fit,Hatchback,Subcompact,Hybrid,47.0,64.0,132,4,1.6,2799,17678,Automatic,AWD,Japan,4,8.1,1.362
522,2004,Volkswagen,ID.4,SUV,Midsize SUV,Gasoline,21.0,28.0,202,4,1.6,4177,39570,Automatic,AWD,Germany,4,10.0,1.333
523,2020,Ram,3500,Truck,Midsize Truck,Gasoline,22.0,28.0,303,8,4.3,4525,41767,Automatic,RWD,USA,5,5.2,1.273
524,2004,Toyota,4Runner,SUV,Midsize SUV,Gasoline,22.0,29.0,214,6,2.9,4091,37432,Automatic,AWD,Japan,5,10.0,1.318
525,2001,BMW,X7,SUV,Full-size Luxury SUV,Diesel,21.0,28.0,416,8,4.4,6005,100162,Automatic,FWD,Germany,3,7.2,1.333
526,2014,BMW,X1,SUV,Subcompact Luxury SUV,Diesel,31.0,38.0,173,4,1.5,3402,49932,Automatic,RWD,Germany,5,5.6,1.226
527,2001,Kia,Sportage,SUV,Midsize SUV,Hybrid,30.0,41.0,240,4,1.6,3852,35015,Automatic,FWD,South Korea,5,7.7,1.367
528,2008,Mazda,RX-8,Coupe,Compact,Gasoline,29.0,39.0,142,4,1.4,3297,27904,Automatic,AWD,Japan,4,7.4,1.345
529,2014,Ford,Mustang,Coupe,Sports,Gasoline,21.0,26.0,316,6,3.2,3428,41719,Automatic,AWD,USA,5,8.4,1.238
530,2010,Nissan,Rogue,SUV,Midsize SUV,Gasoline,24.0,31.0,233,4,1.7,3930,43858,Automatic,RWD,Japan,5,8.8,1.292
531,2014,Dodge,Journey,SUV,Midsize SUV,Gasoline,21.0,27.0,244,6,3.0,3900,48522,Automatic,RWD,USA,5,9.8,1.286
532,2004,Ram,2500,Truck,Midsize Truck,Gasoline,19.0,23.0,259,4,1.6,4397,30181,Automatic,FWD,USA,5,5.9,1.211
533,2013,Honda,Insight,Sedan,Compact,Gasoline,31.0,37.0,169,4,1.7,3210,30951,Automatic,RWD,Japan,3,9.1,1.194
534,2009,Ram,1500,Truck,Midsize Truck,Gasoline,23.0,28.0,274,4,1.6,4289,32448,Automatic,FWD,USA,5,7.3,1.217
535,2015,Subaru,BRZ,Coupe,Compact,Gasoline,29.0,37.0,128,4,1.6,2892,24438,Automatic,AWD,Japan,5,5.1,1.276
536,2001,Subaru,Baja,Truck,Midsize Truck,Gasoline,22.0,29.0,236,4,1.4,4181,35475,Automatic,AWD,Japan,5,6.3,1.318
537,2019,Chevrolet,Traverse,SUV,Midsize SUV,Gasoline,23.0,30.0,226,4,1.7,4184,44732,Manual,4WD,USA,5,7.3,1.304
538,2002,Volvo,C40,SUV,Midsize SUV,Electric,,,320,0,0.0,3941,34971,Automatic,AWD,Sweden,4,6.6,
539,2000,Mercedes-Benz,GLA,SUV,Subcompact Luxury SUV,Diesel,27.0,33.0,214,4,1.6,3598,33652,Automatic,4WD,Germany,4,6.7,1.222
540,2005,Tesla,Model S,Sedan,Midsize Luxury,Electric,,,460,0,0.0,4068,62161,Automatic,RWD,USA,5,7.6,
541,2003,Hyundai,Accent,Sedan,Midsize,Gasoline,27.0,35.0,218,6,3.0,3166,34082,Automatic,RWD,South Korea,4,6.1,1.296
542,2007,Ram,1500 Classic,Truck,Midsize Truck,Gasoline,21.0,26.0,292,4,1.6,4431,32448,Automatic,RWD,USA,3,5.3,1.238
543,2004,Lexus,GX,SUV,Midsize SUV,Gasoline,21.0,26.0,218,6,2.9,4587,35951,Automatic,FWD,Japan,5,7.8,1.238
544,2019,Dodge,Grand Caravan,Minivan,Compact,Gasoline,30.0,41.0,140,4,1.5,3227,29205,Automatic,AWD,USA,5,6.0,1.367
545,2002,Chevrolet,Colorado,Truck,Midsize Truck,Gasoline,19.0,25.0,225,4,1.6,4910,35040,Manual,FWD,USA,5,9.5,1.316
546,2007,GMC,Yukon,SUV,Midsize SUV,Gasoline,21.0,29.0,211,6,3.2,4286,45094,Automatic,RWD,USA,3,7.7,1.381
547,2013,Toyota,RAV4,SUV,Compact SUV,Gasoline,26.0,35.0,141,4,1.6,3352,30818,Automatic,RWD,Japan,5,5.8,1.346
548,2012,Tesla,Model S,Sedan,Midsize Luxury,Electric,,,493,0,0.0,4151,74538,Automatic,RWD,USA,4,9.8,
549,2000,Audi,Q8,SUV,Full-size Luxury SUV,Gasoline,14.0,18.0,386,8,4.3,5766,101027,Automatic,RWD,Germany,5,9.2,1.286
550,2000,Tesla,Model Y,SUV,Compact Luxury SUV,Electric,,,308,0,0.0,4123,47943,Automatic,RWD,USA,4,10.0,
551,2021,Audi,TT,Coupe,Sports Luxury,Diesel,22.0,28.0,553,12,5.9,3697,112101,Manual,RWD,Germany,4,5.5,1.273
552,2008,Mazda,RX-8,Coupe,Compact,Gasoline,23.0,27.0,122,3,1.0,3232,27924,Automatic,FWD,Japan,5,6.4,1.174
553,2011,GMC,Typhoon,SUV,Midsize SUV,Gasoline,23.0,28.0,184,4,1.7,4063,44918,Automatic,4WD,USA,4,9.5,1.217
554,2002,Nissan,Armada,SUV,Midsize SUV,Gasoline,19.0,23.0,217,4,1.7,4163,34725,Automatic,FWD,Japan,5,7.8,1.211
555,2015,Nissan,Rogue,SUV,Midsize SUV,Gasoline,27.0,36.0,217,4,1.6,3954,51797,Automatic,AWD,Japan,5,6.9,1.333
556,2012,Ford,F-150,Truck,Full-size Truck,Gasoline,16.0,22.0,373,6,3.1,5272,48095,Automatic,AWD,USA,3,6.7,1.375
557,2001,Ford,Maverick,Truck,Compact Truck,Gasoline,25.0,33.0,174,4,1.7,3460,28324,Automatic,RWD,USA,4,8.4,1.32
558,2010,Tesla,Model 3,Sedan,Compact Luxury,Electric,,,290,0,0.0,3424,42880,Automatic,AWD,USA,4,5.7,
559,2019,Honda,Civic,Sedan,Compact,Hybrid,47.0,58.0,169,4,1.5,2844,27051,Automatic,AWD,Japan,5,7.8,1.234
560,2004,Ford,F-150,Truck,Full-size Truck,Gasoline,17.0,22.0,353,8,4.3,5576,49535,Automatic,FWD,USA,5,10.0,1.294
561,2000,Kia,Optima,Sedan,Midsize,Gasoline,28.0,38.0,193,4,1.5,3632,26281,Automatic,FWD,South Korea,5,6.3,1.357
562,2022,GMC,Sonoma,Truck,Midsize Truck,Gasoline,24.0,32.0,254,6,2.9,4427,43253,Automatic,AWD,USA,4,7.9,1.333
563,2022,Toyota,Highlander,SUV,Midsize SUV,Gasoline,22.0,28.0,233,6,2.8,4142,47588,Automatic,AWD,Japan,4,7.8,1.273
564,2009,Honda,CR-V,SUV,Compact SUV,Gasoline,26.0,32.0,135,4,1.6,3225,30918,Automatic,FWD,Japan,5,7.6,1.231
565,2007,Subaru,Baja,Truck,Midsize Truck,Gasoline,21.0,26.0,275,4,1.7,4803,35136,Automatic,AWD,Japan,4,7.9,1.238
566,2021,Volkswagen,ID.4,SUV,Midsize SUV,Gasoline,26.0,36.0,299,6,3.0,4000,46138,Manual,4WD,Germany,4,7.1,1.385
567,2010,Jeep,Gladiator,Truck,Midsize Truck,Gasoline,18.0,24.0,277,6,2.9,4521,41101,Automatic,AWD,USA,5,7.4,1.333
568,2015,Lexus,RC,Coupe,Compact,Gasoline,30.0,40.0,160,4,1.6,2754,26853,Manual,AWD,Japan,4,6.9,1.333
569,2005,Lexus,LX,SUV,Midsize SUV,Gasoline,21.0,27.0,198,4,1.6,4317,43070,Automatic,AWD,Japan,4,8.8,1.286
570,2006,Nissan,Armada,SUV,Midsize SUV,Gasoline,21.0,26.0,214,6,3.0,4181,45789,Automatic,FWD,Japan,4,8.1,1.238
571,2016,Ford,Expedition,SUV,Full-size SUV,Gasoline,15.0,19.0,328,8,4.3,5558,60521,Automatic,FWD,USA,5,7.1,1.267
572,2017,Lexus,LC,Coupe,Compact,Hybrid,44.0,53.0,151,4,1.7,3241,28819,Automatic,AWD,Japan,4,8.5,1.205
573,2006,Kia,Soul,Hatchback,Compact,Gasoline,31.0,41.0,147,4,1.6,3122,23256,Automatic,RWD,South Korea,5,8.6,1.323
574,2020,Toyota,4Runner,SUV,Midsize SUV,Gasoline,20.0,27.0,234,4,1.5,4417,55120,Automatic,RWD,Japan,4,7.8,1.35
575,2006,Chevrolet,Tahoe,SUV,Full-size SUV,Gasoline,16.0,19.0,282,6,3.0,5256,55255,Manual,FWD,USA,5,10.0,1.188
576,2007,Volkswagen,ID.4,SUV,Midsize SUV,Gasoline,22.0,28.0,224,6,3.0,3760,46844,Manual,4WD,Germany,5,7.8,1.273
577,2020,Subaru,Tribeca,SUV,Midsize SUV,Gasoline,25.0,31.0,228,4,1.6,3973,48345,Manual,FWD,Japan,3,9.0,1.24
578,2015,Ford,EcoSport,SUV,Subcompact SUV,Gasoline,30.0,37.0,184,4,1.6,3217,31689,Automatic,AWD,USA,4,8.6,1.233
579,2010,Toyota,RAV4,SUV,Compact SUV,Gasoline,21.0,25.0,203,6,3.1,3112,38903,Manual,4WD,Japan,5,6.5,1.19
580,2019,Dodge,Durango,SUV,Midsize SUV,Gasoline,27.0,37.0,209,6,3.0,3976,45060,Automatic,RWD,USA,5,7.7,1.37
581,2010,Nissan,Maxima,Sedan,Midsize,Gasoline,28.0,36.0,174,4,1.5,3486,36846,Automatic,AWD,Japan,5,7.9,1.286
582,2007,Mercedes-Benz,GLA,SUV,Subcompact Luxury SUV,Gasoline,22.0,30.0,201,4,1.6,3279,43344,Automatic,4WD,Germany,4,6.9,1.364
583,2021,Mazda,MX-5,Convertible,Compact,Gasoline,29.0,36.0,125,3,1.0,2475,34096,Automatic,FWD,Japan,5,7.8,1.241
584,2006,Mercedes-Benz,S-Class,Sedan,Full-size Luxury,Diesel,19.0,22.0,481,12,6.0,4647,102265,Manual,RWD,Germany,3,6.0,1.158
585,2022,Hyundai,Tucson,SUV,Midsize SUV,Gasoline,22.0,28.0,260,4,1.7,4329,55294,Automatic,RWD,South Korea,5,8.0,1.273
586,2003,Toyota,Sequoia,SUV,Full-size SUV,Gasoline,15.0,18.0,292,4,1.6,5456,55289,Automatic,4WD,Japan,4,7.3,1.2
587,2006,Ford,Maverick,Truck,Compact Truck,Hybrid,35.0,47.0,157,4,1.5,3599,31313,Automatic,FWD,USA,4,7.1,1.343
588,2007,Jeep,Compass,SUV,Midsize SUV,Gasoline,22.0,30.0,224,4,1.7,4134,39371,Automatic,4WD,USA,5,7.4,1.364
589,2023,Honda,CR-V,SUV,Compact SUV,Gasoline,29.0,39.0,178,4,1.7,3276,41634,Manual,RWD,Japan,5,8.3,1.345
590,2005,Volkswagen,ID.4,SUV,Midsize SUV,Gasoline,23.0,29.0,214,6,3.0,4281,39360,Automatic,AWD,Germany,3,9.7,1.261
591,2009,Audi,A5,Coupe,Compact Luxury,Diesel,22.0,29.0,252,4,1.4,3715,45552,Automatic,RWD,Germany,5,6.8,1.318
592,2005,BMW,M3,Sedan,Sports Luxury,Diesel,18.0,24.0,531,12,5.9,3189,85668,Automatic,RWD,Germany,5,7.7,1.333
593,2018,Nissan,Maxima,Sedan,Midsize,Gasoline,29.0,38.0,192,4,1.5,3637,39164,Automatic,AWD,Japan,3,8.6,1.31
594,2012,Audi,A6,Sedan,Midsize Luxury,Gasoline,24.0,31.0,333,8,4.4,4320,65937,Automatic,AWD,Germany,5,6.2,1.292
595,2009,Ram,1500 Classic,Truck,Midsize Truck,Gasoline,21.0,26.0,296,4,1.6,4518,40694,Automatic,4WD,USA,5,6.5,1.238
596,2002,GMC,Sierra,Truck,Midsize Truck,Gasoline,21.0,25.0,271,4,1.6,4765,30722,Automatic,4WD,USA,4,7.2,1.19
597,2023,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,17.0,21.0,351,8,4.5,5567,77890,Manual,4WD,USA,4,7.6,1.235
598,2012,Volkswagen,Taos,SUV,Midsize SUV,Gasoline,22.0,28.0,201,6,3.0,4228,50134,Automatic,RWD,Germany,4,4.7,1.273
599,2019,Chevrolet,Colorado,Truck,Midsize Truck,Gasoline,23.0,28.0,295,6,3.0,4285,43120,Automatic,FWD,USA,4,6.6,1.217
600,2000,Audi,A4,Sedan,Compact Luxury,Diesel,28.0,37.0,233,6,3.2,3744,41661,Automatic,AWD,Germany,4,6.0,1.321
601,2012,Ford,Mustang,Coupe,Sports,Gasoline,21.0,26.0,336,8,4.3,3673,44211,Automatic,FWD,USA,5,9.7,1.238
602,2001,Nissan,Kicks,SUV,Midsize SUV,Gasoline,20.0,26.0,206,4,1.6,3823,41822,Automatic,4WD,Japan,3,9.1,1.3
603,2012,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,13.0,16.0,293,6,3.1,5578,62035,Automatic,RWD,USA,5,7.2,1.231
604,2020,Chevrolet,Equinox,SUV,Compact SUV,Gasoline,23.0,31.0,163,4,1.6,3492,37677,Automatic,4WD,USA,5,4.0,1.348
605,2002,Toyota,Corolla,Sedan,Compact,Gasoline,25.0,33.0,141,4,1.7,3192,24726,Automatic,FWD,Japan,5,9.0,1.32
606,2006,Audi,A6,Sedan,Midsize Luxury,Gasoline,24.0,32.0,332,8,4.2,3878,57704,Automatic,AWD,Germany,4,8.7,1.333
607,2008,Jeep,Grand Cherokee,SUV,Midsize SUV,Gasoline,21.0,27.0,246,4,1.6,4057,40850,Manual,AWD,USA,3,7.3,1.286
608,2024,Tesla,Cybertruck,Truck,Full-size Truck,Electric,,,799,0,0.0,5577,63236,Automatic,FWD,USA,4,9.2,
609,2007,Subaru,Legacy,Sedan,Midsize,Gasoline,25.0,30.0,171,4,1.7,3389,28157,Automatic,AWD,Japan,5,7.0,1.2
610,2019,BMW,3 Series,Sedan,Compact Luxury,Gasoline,21.0,28.0,251,4,1.5,3904,58161,Automatic,RWD,Germany,5,9.0,1.333
611,2000,Toyota,Tundra,Truck,Full-size Truck,Hybrid,27.0,36.0,342,8,4.3,5536,42002,Automatic,AWD,Japan,4,10.0,1.333
612,2023,Dodge,Challenger,Coupe,Compact,Gasoline,28.0,35.0,160,4,1.5,3204,33645,Automatic,FWD,USA,4,7.3,1.25
613,2021,Chevrolet,Colorado,Truck,Midsize Truck,Gasoline,24.0,33.0,268,4,1.6,4720,40102,Automatic,AWD,USA,3,7.9,1.375
614,2024,Subaru,BRZ,Coupe,Compact,Gasoline,30.0,37.0,155,4,1.6,3327,27548,Automatic,AWD,Japan,5,7.0,1.233
615,2007,Chevrolet,Tahoe,SUV,Full-size SUV,Gasoline,16.0,21.0,286,6,3.1,5272,65404,Automatic,RWD,USA,5,7.6,1.312
616,2002,Chevrolet,Equinox,SUV,Compact SUV,Gasoline,26.0,35.0,191,4,1.7,3272,33932,Manual,AWD,USA,4,8.5,1.346
617,2006,Volvo,V40,Hatchback,Compact,Hybrid,44.0,56.0,145,4,1.4,2946,24841,Automatic,FWD,Sweden,3,10.0,1.273
618,2009,Subaru,Impreza,Sedan,Midsize,Gasoline,27.0,35.0,163,4,1.7,3574,35605,Automatic,AWD,Japan,5,9.3,1.296
619,2022,Kia,Seltos,SUV,Midsize SUV,Gasoline,23.0,30.0,269,6,2.9,4005,55151,Automatic,FWD,South Korea,4,6.9,1.304
620,2024,Nissan,Altima,Sedan,Midsize,Gasoline,24.0,32.0,194,4,1.7,3333,35329,Automatic,RWD,Japan,4,4.5,1.333
621,2024,Dodge,Dart,Sedan,Midsize,Gasoline,26.0,32.0,212,6,2.9,3456,34622,Automatic,AWD,USA,5,10.0,1.231
622,2020,Kia,Stinger,Sedan,Midsize,Gasoline,29.0,38.0,173,4,1.7,3581,40815,Automatic,AWD,South Korea,3,6.9,1.31
623,2021,Volvo,XC60,SUV,Midsize SUV,Gasoline,20.0,26.0,270,6,3.0,4133,58577,Automatic,AWD,Sweden,3,6.1,1.3
624,2020,Ram,2500,Truck,Midsize Truck,Gasoline,21.0,26.0,284,6,3.0,4531,38760,Automatic,AWD,USA,5,9.4,1.238
625,2020,Jeep,Renegade,SUV,Midsize SUV,Gasoline,23.0,28.0,231,4,1.7,4306,43813,Automatic,RWD,USA,4,7.4,1.217
626,2015,Mercedes-Benz,GLA,SUV,Subcompact Luxury SUV,Diesel,25.0,33.0,204,6,3.2,3598,49328,Automatic,AWD,Germany,4,8.8,1.32
